Rule ID,Rule Name,Rule Description,Visa Type,Eligibility Criteria,Application Fee,Processing Time,Required Documents,Additional Notes
212,Innovator Visa,Allows family members of UK residents to join them in the UK.,Student,Must have sufficient funds for the duration of stay and intention to return,£610,12 weeks,"Passport, bank statements, travel itinerary",Can work part-time during term and full-time during breaks.
213,Innovator Visa,Allows family members of UK residents to join them in the UK.,Visitor,Must have sufficient funds for the duration of stay and intention to return,£610,6 months,"Passport, CoS, qualifications, proof of funds",Sponsorship from a licensed UK employer required.
214,Tier 2 Work Visa,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Family,"Family relationship proof, sufficient funds",£610,3 weeks,"Passport, relationship proof, financial proof",Family visa holders can apply for indefinite leave to remain after 5 years.
215,Tier 4 Student,For experienced business people seeking to establish an innovative business in the UK.,Visitor,"Accepted by a UK institution, proof of funds, English proficiency",£348,3 weeks,"Passport, business plan, endorsement letter, financial proof",Max 6 months stay per visit.
216,Innovator Visa,For international students pursuing a course in the UK.,Work,"Job offer, Certificate of Sponsorship, appropriate salary",£95,6 months,"Passport, relationship proof, financial proof",Family visa holders can apply for indefinite leave to remain after 5 years.
217,Visitor Visa,Allows individuals to visit the UK for tourism or family visits.,Visitor,"Accepted by a UK institution, proof of funds, English proficiency","£1,021",6 months,"Passport, CAS, financial proof, TB test",Family visa holders can apply for indefinite leave to remain after 5 years.
218,Tier 2 Work Visa,Allows family members of UK residents to join them in the UK.,Work,"Job offer, Certificate of Sponsorship, appropriate salary",£348,3 weeks,"Passport, CoS, qualifications, proof of funds",Sponsorship from a licensed UK employer required.
219,Innovator Visa,Allows individuals to visit the UK for tourism or family visits.,Family,Must have sufficient funds for the duration of stay and intention to return,"£1,523",6 months,"Passport, relationship proof, financial proof",Sponsorship from a licensed UK employer required.
220,Innovator Visa,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Visitor,Must have sufficient funds for the duration of stay and intention to return,£610,12 weeks,"Passport, bank statements, travel itinerary",Max 6 months stay per visit.
221,Tier 2 Work Visa,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Visitor,"Job offer, Certificate of Sponsorship, appropriate salary",£95,6 months,"Passport, business plan, endorsement letter, financial proof",Sponsorship from a licensed UK employer required.
222,Innovator Visa,For international students pursuing a course in the UK.,Family,"Family relationship proof, sufficient funds",£95,6 months,"Passport, business plan, endorsement letter, financial proof",Must maintain the endorsement and continue business activities.
223,Innovator Visa,Allows individuals to visit the UK for tourism or family visits.,Family,Must have sufficient funds for the duration of stay and intention to return,"£1,523",3 weeks,"Passport, relationship proof, financial proof",Max 6 months stay per visit.
224,Family Visa,Allows family members of UK residents to join them in the UK.,Work,"Innovative business idea, proof of funds, endorsement by an approved body",£95,6 months,"Passport, bank statements, travel itinerary",Family visa holders can apply for indefinite leave to remain after 5 years.
225,Family Visa,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Visitor,"Family relationship proof, sufficient funds","£1,523",3 weeks,"Passport, CoS, qualifications, proof of funds",Family visa holders can apply for indefinite leave to remain after 5 years.
226,Visitor Visa,Allows family members of UK residents to join them in the UK.,Family,"Job offer, Certificate of Sponsorship, appropriate salary",£610,8 weeks,"Passport, business plan, endorsement letter, financial proof",Sponsorship from a licensed UK employer required.
227,Innovator Visa,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Business,"Family relationship proof, sufficient funds",£610,3 weeks,"Passport, CAS, financial proof, TB test",Must maintain the endorsement and continue business activities.
228,Visitor Visa,Allows family members of UK residents to join them in the UK.,Business,"Family relationship proof, sufficient funds","£1,021",12 weeks,"Passport, bank statements, travel itinerary",Must maintain the endorsement and continue business activities.
229,Innovator Visa,Allows family members of UK residents to join them in the UK.,Visitor,Must have sufficient funds for the duration of stay and intention to return,"£1,021",8 weeks,"Passport, CoS, qualifications, proof of funds",Must maintain the endorsement and continue business activities.
230,Visitor Visa,For international students pursuing a course in the UK.,Business,Must have sufficient funds for the duration of stay and intention to return,£610,6 months,"Passport, business plan, endorsement letter, financial proof",Max 6 months stay per visit.
231,Innovator Visa,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Business,Must have sufficient funds for the duration of stay and intention to return,"£1,021",12 weeks,"Passport, business plan, endorsement letter, financial proof",Max 6 months stay per visit.
232,Innovator Visa,Allows individuals to visit the UK for tourism or family visits.,Student,"Accepted by a UK institution, proof of funds, English proficiency",£348,8 weeks,"Passport, bank statements, travel itinerary",Family visa holders can apply for indefinite leave to remain after 5 years.
233,Tier 2 Work Visa,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Visitor,"Accepted by a UK institution, proof of funds, English proficiency",£610,3 weeks,"Passport, CAS, financial proof, TB test",Max 6 months stay per visit.
234,Innovator Visa,For international students pursuing a course in the UK.,Work,"Family relationship proof, sufficient funds",£95,8 weeks,"Passport, CAS, financial proof, TB test",Must maintain the endorsement and continue business activities.
235,Tier 4 Student,For international students pursuing a course in the UK.,Visitor,"Job offer, Certificate of Sponsorship, appropriate salary",£95,6 months,"Passport, business plan, endorsement letter, financial proof",Must maintain the endorsement and continue business activities.
236,Visitor Visa,Allows family members of UK residents to join them in the UK.,Family,"Innovative business idea, proof of funds, endorsement by an approved body",£348,3 weeks,"Passport, business plan, endorsement letter, financial proof",Must maintain the endorsement and continue business activities.
237,Visitor Visa,Allows individuals to visit the UK for tourism or family visits.,Work,"Innovative business idea, proof of funds, endorsement by an approved body",£95,3 weeks,"Passport, relationship proof, financial proof",Family visa holders can apply for indefinite leave to remain after 5 years.
238,Visitor Visa,Allows family members of UK residents to join them in the UK.,Family,"Family relationship proof, sufficient funds",£95,8 weeks,"Passport, relationship proof, financial proof",Family visa holders can apply for indefinite leave to remain after 5 years.
239,Tier 4 Student,For experienced business people seeking to establish an innovative business in the UK.,Business,"Job offer, Certificate of Sponsorship, appropriate salary",£610,6 months,"Passport, CoS, qualifications, proof of funds",Sponsorship from a licensed UK employer required.
240,Tier 4 Student,For experienced business people seeking to establish an innovative business in the UK.,Visitor,"Job offer, Certificate of Sponsorship, appropriate salary",£610,6 months,"Passport, bank statements, travel itinerary",Family visa holders can apply for indefinite leave to remain after 5 years.
241,Innovator Visa,Allows individuals to visit the UK for tourism or family visits.,Business,"Family relationship proof, sufficient funds","£1,021",8 weeks,"Passport, bank statements, travel itinerary",Must maintain the endorsement and continue business activities.
242,Innovator Visa,For international students pursuing a course in the UK.,Family,"Family relationship proof, sufficient funds",£348,3 weeks,"Passport, CoS, qualifications, proof of funds",Max 6 months stay per visit.
243,Visitor Visa,For international students pursuing a course in the UK.,Student,"Family relationship proof, sufficient funds",£95,6 months,"Passport, CAS, financial proof, TB test",Max 6 months stay per visit.
244,Visitor Visa,For international students pursuing a course in the UK.,Work,"Family relationship proof, sufficient funds",£610,6 months,"Passport, relationship proof, financial proof",Must maintain the endorsement and continue business activities.
245,Tier 4 Student,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Business,"Job offer, Certificate of Sponsorship, appropriate salary","£1,021",8 weeks,"Passport, business plan, endorsement letter, financial proof",Max 6 months stay per visit.
246,Innovator Visa,Allows individuals to visit the UK for tourism or family visits.,Student,"Job offer, Certificate of Sponsorship, appropriate salary",£610,6 months,"Passport, bank statements, travel itinerary",Family visa holders can apply for indefinite leave to remain after 5 years.
247,Visitor Visa,Allows family members of UK residents to join them in the UK.,Student,"Family relationship proof, sufficient funds",£348,12 weeks,"Passport, bank statements, travel itinerary",Sponsorship from a licensed UK employer required.
248,Visitor Visa,Allows family members of UK residents to join them in the UK.,Business,"Family relationship proof, sufficient funds","£1,021",8 weeks,"Passport, CoS, qualifications, proof of funds",Must maintain the endorsement and continue business activities.
249,Family Visa,Allows family members of UK residents to join them in the UK.,Visitor,"Family relationship proof, sufficient funds","£1,523",8 weeks,"Passport, CAS, financial proof, TB test",Max 6 months stay per visit.
250,Innovator Visa,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Business,Must have sufficient funds for the duration of stay and intention to return,"£1,523",12 weeks,"Passport, bank statements, travel itinerary",Must maintain the endorsement and continue business activities.
251,Tier 2 Work Visa,For experienced business people seeking to establish an innovative business in the UK.,Student,Must have sufficient funds for the duration of stay and intention to return,"£1,021",6 months,"Passport, CAS, financial proof, TB test",Must maintain the endorsement and continue business activities.
252,Tier 4 Student,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Family,"Job offer, Certificate of Sponsorship, appropriate salary",£95,12 weeks,"Passport, CoS, qualifications, proof of funds",Can work part-time during term and full-time during breaks.
253,Tier 4 Student,Allows individuals to visit the UK for tourism or family visits.,Work,"Family relationship proof, sufficient funds","£1,021",6 months,"Passport, relationship proof, financial proof",Max 6 months stay per visit.
254,Tier 4 Student,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Family,"Family relationship proof, sufficient funds",£348,3 weeks,"Passport, business plan, endorsement letter, financial proof",Family visa holders can apply for indefinite leave to remain after 5 years.
255,Tier 4 Student,Allows family members of UK residents to join them in the UK.,Work,"Family relationship proof, sufficient funds","£1,523",6 months,"Passport, CoS, qualifications, proof of funds",Must maintain the endorsement and continue business activities.
256,Visitor Visa,Allows individuals to visit the UK for tourism or family visits.,Visitor,"Accepted by a UK institution, proof of funds, English proficiency","£1,523",12 weeks,"Passport, CoS, qualifications, proof of funds",Sponsorship from a licensed UK employer required.
257,Innovator Visa,For experienced business people seeking to establish an innovative business in the UK.,Student,Must have sufficient funds for the duration of stay and intention to return,"£1,523",8 weeks,"Passport, CAS, financial proof, TB test",Max 6 months stay per visit.
258,Tier 4 Student,Allows family members of UK residents to join them in the UK.,Business,"Accepted by a UK institution, proof of funds, English proficiency",£348,8 weeks,"Passport, bank statements, travel itinerary",Max 6 months stay per visit.
259,Family Visa,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Work,"Innovative business idea, proof of funds, endorsement by an approved body","£1,021",3 weeks,"Passport, CAS, financial proof, TB test",Can work part-time during term and full-time during breaks.
260,Tier 4 Student,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Visitor,"Job offer, Certificate of Sponsorship, appropriate salary",£95,8 weeks,"Passport, CoS, qualifications, proof of funds",Max 6 months stay per visit.
261,Tier 4 Student,For experienced business people seeking to establish an innovative business in the UK.,Student,"Job offer, Certificate of Sponsorship, appropriate salary",£95,8 weeks,"Passport, bank statements, travel itinerary",Can work part-time during term and full-time during breaks.
262,Tier 4 Student,For international students pursuing a course in the UK.,Student,"Accepted by a UK institution, proof of funds, English proficiency","£1,523",6 months,"Passport, relationship proof, financial proof",Sponsorship from a licensed UK employer required.
263,Tier 2 Work Visa,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Student,"Job offer, Certificate of Sponsorship, appropriate salary",£348,3 weeks,"Passport, CAS, financial proof, TB test",Max 6 months stay per visit.
264,Visitor Visa,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Visitor,"Family relationship proof, sufficient funds",£348,12 weeks,"Passport, bank statements, travel itinerary",Sponsorship from a licensed UK employer required.
265,Innovator Visa,Allows family members of UK residents to join them in the UK.,Family,"Job offer, Certificate of Sponsorship, appropriate salary","£1,021",6 months,"Passport, bank statements, travel itinerary",Sponsorship from a licensed UK employer required.
266,Tier 2 Work Visa,Allows family members of UK residents to join them in the UK.,Business,"Job offer, Certificate of Sponsorship, appropriate salary",£348,12 weeks,"Passport, CoS, qualifications, proof of funds",Max 6 months stay per visit.
267,Innovator Visa,Allows family members of UK residents to join them in the UK.,Visitor,Must have sufficient funds for the duration of stay and intention to return,"£1,523",3 weeks,"Passport, business plan, endorsement letter, financial proof",Family visa holders can apply for indefinite leave to remain after 5 years.
268,Visitor Visa,Allows family members of UK residents to join them in the UK.,Work,"Innovative business idea, proof of funds, endorsement by an approved body",£348,8 weeks,"Passport, CoS, qualifications, proof of funds",Must maintain the endorsement and continue business activities.
269,Tier 2 Work Visa,Allows individuals to visit the UK for tourism or family visits.,Family,"Job offer, Certificate of Sponsorship, appropriate salary","£1,523",3 weeks,"Passport, bank statements, travel itinerary",Max 6 months stay per visit.
270,Visitor Visa,For experienced business people seeking to establish an innovative business in the UK.,Student,"Accepted by a UK institution, proof of funds, English proficiency",£348,6 months,"Passport, relationship proof, financial proof",Max 6 months stay per visit.
271,Tier 2 Work Visa,For international students pursuing a course in the UK.,Student,"Innovative business idea, proof of funds, endorsement by an approved body","£1,523",12 weeks,"Passport, CAS, financial proof, TB test",Family visa holders can apply for indefinite leave to remain after 5 years.
272,Tier 2 Work Visa,For international students pursuing a course in the UK.,Business,"Innovative business idea, proof of funds, endorsement by an approved body",£348,6 months,"Passport, bank statements, travel itinerary",Can work part-time during term and full-time during breaks.
273,Innovator Visa,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Visitor,"Accepted by a UK institution, proof of funds, English proficiency",£610,8 weeks,"Passport, bank statements, travel itinerary",Sponsorship from a licensed UK employer required.
274,Family Visa,Allows family members of UK residents to join them in the UK.,Family,"Job offer, Certificate of Sponsorship, appropriate salary","£1,021",3 weeks,"Passport, CoS, qualifications, proof of funds",Can work part-time during term and full-time during breaks.
275,Innovator Visa,Allows individuals to visit the UK for tourism or family visits.,Student,"Innovative business idea, proof of funds, endorsement by an approved body","£1,021",6 months,"Passport, bank statements, travel itinerary",Sponsorship from a licensed UK employer required.
276,Innovator Visa,For experienced business people seeking to establish an innovative business in the UK.,Work,"Family relationship proof, sufficient funds","£1,523",3 weeks,"Passport, bank statements, travel itinerary",Must maintain the endorsement and continue business activities.
277,Family Visa,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Business,Must have sufficient funds for the duration of stay and intention to return,£348,8 weeks,"Passport, CoS, qualifications, proof of funds",Max 6 months stay per visit.
278,Tier 4 Student,For international students pursuing a course in the UK.,Work,Must have sufficient funds for the duration of stay and intention to return,"£1,021",12 weeks,"Passport, bank statements, travel itinerary",Can work part-time during term and full-time during breaks.
279,Tier 2 Work Visa,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Visitor,"Innovative business idea, proof of funds, endorsement by an approved body",£348,6 months,"Passport, CoS, qualifications, proof of funds",Can work part-time during term and full-time during breaks.
280,Innovator Visa,For experienced business people seeking to establish an innovative business in the UK.,Work,"Accepted by a UK institution, proof of funds, English proficiency",£95,8 weeks,"Passport, bank statements, travel itinerary",Sponsorship from a licensed UK employer required.
281,Visitor Visa,For international students pursuing a course in the UK.,Family,"Innovative business idea, proof of funds, endorsement by an approved body",£348,3 weeks,"Passport, relationship proof, financial proof",Max 6 months stay per visit.
282,Family Visa,Allows family members of UK residents to join them in the UK.,Family,Must have sufficient funds for the duration of stay and intention to return,£348,12 weeks,"Passport, CAS, financial proof, TB test",Must maintain the endorsement and continue business activities.
283,Tier 4 Student,Allows family members of UK residents to join them in the UK.,Work,"Innovative business idea, proof of funds, endorsement by an approved body","£1,021",6 months,"Passport, CoS, qualifications, proof of funds",Max 6 months stay per visit.
284,Family Visa,Allows family members of UK residents to join them in the UK.,Student,"Innovative business idea, proof of funds, endorsement by an approved body",£95,6 months,"Passport, bank statements, travel itinerary",Sponsorship from a licensed UK employer required.
285,Tier 4 Student,For experienced business people seeking to establish an innovative business in the UK.,Family,Must have sufficient funds for the duration of stay and intention to return,£95,8 weeks,"Passport, CAS, financial proof, TB test",Max 6 months stay per visit.
286,Innovator Visa,For experienced business people seeking to establish an innovative business in the UK.,Family,"Job offer, Certificate of Sponsorship, appropriate salary","£1,523",6 months,"Passport, business plan, endorsement letter, financial proof",Family visa holders can apply for indefinite leave to remain after 5 years.
287,Visitor Visa,Allows individuals to visit the UK for tourism or family visits.,Student,Must have sufficient funds for the duration of stay and intention to return,"£1,021",6 months,"Passport, bank statements, travel itinerary",Family visa holders can apply for indefinite leave to remain after 5 years.
288,Family Visa,For international students pursuing a course in the UK.,Family,"Job offer, Certificate of Sponsorship, appropriate salary","£1,021",12 weeks,"Passport, business plan, endorsement letter, financial proof",Sponsorship from a licensed UK employer required.
289,Family Visa,For international students pursuing a course in the UK.,Family,"Innovative business idea, proof of funds, endorsement by an approved body",£610,12 weeks,"Passport, business plan, endorsement letter, financial proof",Must maintain the endorsement and continue business activities.
290,Family Visa,Allows individuals to visit the UK for tourism or family visits.,Business,"Accepted by a UK institution, proof of funds, English proficiency",£610,6 months,"Passport, business plan, endorsement letter, financial proof",Max 6 months stay per visit.
291,Innovator Visa,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Family,"Family relationship proof, sufficient funds",£610,6 months,"Passport, bank statements, travel itinerary",Family visa holders can apply for indefinite leave to remain after 5 years.
292,Innovator Visa,For experienced business people seeking to establish an innovative business in the UK.,Visitor,"Accepted by a UK institution, proof of funds, English proficiency",£610,6 months,"Passport, business plan, endorsement letter, financial proof",Sponsorship from a licensed UK employer required.
293,Visitor Visa,For experienced business people seeking to establish an innovative business in the UK.,Family,"Accepted by a UK institution, proof of funds, English proficiency","£1,021",12 weeks,"Passport, bank statements, travel itinerary",Family visa holders can apply for indefinite leave to remain after 5 years.
294,Tier 2 Work Visa,Allows family members of UK residents to join them in the UK.,Business,"Accepted by a UK institution, proof of funds, English proficiency",£610,3 weeks,"Passport, business plan, endorsement letter, financial proof",Sponsorship from a licensed UK employer required.
295,Innovator Visa,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Student,"Innovative business idea, proof of funds, endorsement by an approved body",£95,6 months,"Passport, CAS, financial proof, TB test",Must maintain the endorsement and continue business activities.
296,Family Visa,Allows family members of UK residents to join them in the UK.,Work,Must have sufficient funds for the duration of stay and intention to return,£610,6 months,"Passport, bank statements, travel itinerary",Must maintain the endorsement and continue business activities.
297,Family Visa,Allows family members of UK residents to join them in the UK.,Work,"Job offer, Certificate of Sponsorship, appropriate salary",£348,8 weeks,"Passport, CoS, qualifications, proof of funds",Sponsorship from a licensed UK employer required.
298,Innovator Visa,Allows individuals to visit the UK for tourism or family visits.,Work,"Accepted by a UK institution, proof of funds, English proficiency",£95,8 weeks,"Passport, CoS, qualifications, proof of funds",Can work part-time during term and full-time during breaks.
299,Tier 2 Work Visa,Allows individuals to visit the UK for tourism or family visits.,Visitor,"Family relationship proof, sufficient funds",£610,8 weeks,"Passport, relationship proof, financial proof",Max 6 months stay per visit.
300,Innovator Visa,Allows family members of UK residents to join them in the UK.,Visitor,"Family relationship proof, sufficient funds",£348,12 weeks,"Passport, CoS, qualifications, proof of funds",Family visa holders can apply for indefinite leave to remain after 5 years.
301,Innovator Visa,Allows individuals to visit the UK for tourism or family visits.,Family,"Family relationship proof, sufficient funds",£95,8 weeks,"Passport, CAS, financial proof, TB test",Max 6 months stay per visit.
302,Tier 4 Student,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Student,"Job offer, Certificate of Sponsorship, appropriate salary","£1,523",12 weeks,"Passport, business plan, endorsement letter, financial proof",Max 6 months stay per visit.
303,Visitor Visa,For experienced business people seeking to establish an innovative business in the UK.,Family,"Job offer, Certificate of Sponsorship, appropriate salary","£1,523",6 months,"Passport, relationship proof, financial proof",Max 6 months stay per visit.
304,Family Visa,For experienced business people seeking to establish an innovative business in the UK.,Work,"Innovative business idea, proof of funds, endorsement by an approved body",£95,6 months,"Passport, CAS, financial proof, TB test",Family visa holders can apply for indefinite leave to remain after 5 years.
305,Visitor Visa,Allows individuals to visit the UK for tourism or family visits.,Visitor,"Accepted by a UK institution, proof of funds, English proficiency","£1,021",8 weeks,"Passport, business plan, endorsement letter, financial proof",Can work part-time during term and full-time during breaks.
306,Visitor Visa,For international students pursuing a course in the UK.,Work,Must have sufficient funds for the duration of stay and intention to return,£95,12 weeks,"Passport, CoS, qualifications, proof of funds",Can work part-time during term and full-time during breaks.
307,Tier 4 Student,For experienced business people seeking to establish an innovative business in the UK.,Business,"Job offer, Certificate of Sponsorship, appropriate salary","£1,523",6 months,"Passport, CoS, qualifications, proof of funds",Can work part-time during term and full-time during breaks.
308,Innovator Visa,Allows family members of UK residents to join them in the UK.,Visitor,"Innovative business idea, proof of funds, endorsement by an approved body",£610,3 weeks,"Passport, bank statements, travel itinerary",Family visa holders can apply for indefinite leave to remain after 5 years.
309,Innovator Visa,For international students pursuing a course in the UK.,Family,"Innovative business idea, proof of funds, endorsement by an approved body",£95,6 months,"Passport, CAS, financial proof, TB test",Sponsorship from a licensed UK employer required.
310,Family Visa,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Family,"Family relationship proof, sufficient funds","£1,021",6 months,"Passport, relationship proof, financial proof",Sponsorship from a licensed UK employer required.
311,Tier 4 Student,For international students pursuing a course in the UK.,Business,"Accepted by a UK institution, proof of funds, English proficiency","£1,523",12 weeks,"Passport, CoS, qualifications, proof of funds",Must maintain the endorsement and continue business activities.
312,Tier 2 Work Visa,For international students pursuing a course in the UK.,Business,"Job offer, Certificate of Sponsorship, appropriate salary","£1,523",6 months,"Passport, relationship proof, financial proof",Can work part-time during term and full-time during breaks.
313,Visitor Visa,For international students pursuing a course in the UK.,Family,"Innovative business idea, proof of funds, endorsement by an approved body","£1,021",6 months,"Passport, bank statements, travel itinerary",Family visa holders can apply for indefinite leave to remain after 5 years.
314,Tier 4 Student,For international students pursuing a course in the UK.,Business,Must have sufficient funds for the duration of stay and intention to return,£610,12 weeks,"Passport, CoS, qualifications, proof of funds",Can work part-time during term and full-time during breaks.
315,Visitor Visa,For experienced business people seeking to establish an innovative business in the UK.,Family,Must have sufficient funds for the duration of stay and intention to return,"£1,523",12 weeks,"Passport, business plan, endorsement letter, financial proof",Must maintain the endorsement and continue business activities.
316,Tier 4 Student,Allows individuals to visit the UK for tourism or family visits.,Student,Must have sufficient funds for the duration of stay and intention to return,"£1,021",12 weeks,"Passport, bank statements, travel itinerary",Max 6 months stay per visit.
317,Family Visa,For experienced business people seeking to establish an innovative business in the UK.,Family,"Family relationship proof, sufficient funds",£95,3 weeks,"Passport, CAS, financial proof, TB test",Can work part-time during term and full-time during breaks.
318,Innovator Visa,Allows family members of UK residents to join them in the UK.,Work,"Job offer, Certificate of Sponsorship, appropriate salary","£1,021",12 weeks,"Passport, relationship proof, financial proof",Sponsorship from a licensed UK employer required.
319,Family Visa,For international students pursuing a course in the UK.,Work,Must have sufficient funds for the duration of stay and intention to return,"£1,523",12 weeks,"Passport, business plan, endorsement letter, financial proof",Family visa holders can apply for indefinite leave to remain after 5 years.
320,Tier 4 Student,For experienced business people seeking to establish an innovative business in the UK.,Student,"Innovative business idea, proof of funds, endorsement by an approved body","£1,523",3 weeks,"Passport, CoS, qualifications, proof of funds",Can work part-time during term and full-time during breaks.
321,Family Visa,Allows individuals to visit the UK for tourism or family visits.,Business,"Family relationship proof, sufficient funds",£95,8 weeks,"Passport, relationship proof, financial proof",Family visa holders can apply for indefinite leave to remain after 5 years.
322,Visitor Visa,For international students pursuing a course in the UK.,Business,"Innovative business idea, proof of funds, endorsement by an approved body",£610,8 weeks,"Passport, relationship proof, financial proof",Max 6 months stay per visit.
323,Visitor Visa,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Work,Must have sufficient funds for the duration of stay and intention to return,£610,3 weeks,"Passport, bank statements, travel itinerary",Sponsorship from a licensed UK employer required.
324,Innovator Visa,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Business,Must have sufficient funds for the duration of stay and intention to return,"£1,021",12 weeks,"Passport, relationship proof, financial proof",Can work part-time during term and full-time during breaks.
325,Tier 2 Work Visa,For international students pursuing a course in the UK.,Work,"Family relationship proof, sufficient funds","£1,021",3 weeks,"Passport, CoS, qualifications, proof of funds",Can work part-time during term and full-time during breaks.
326,Visitor Visa,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Visitor,Must have sufficient funds for the duration of stay and intention to return,"£1,021",8 weeks,"Passport, bank statements, travel itinerary",Must maintain the endorsement and continue business activities.
327,Tier 4 Student,Allows individuals to visit the UK for tourism or family visits.,Business,"Accepted by a UK institution, proof of funds, English proficiency",£610,6 months,"Passport, business plan, endorsement letter, financial proof",Max 6 months stay per visit.
328,Family Visa,Allows individuals to visit the UK for tourism or family visits.,Student,"Family relationship proof, sufficient funds",£348,8 weeks,"Passport, business plan, endorsement letter, financial proof",Family visa holders can apply for indefinite leave to remain after 5 years.
329,Family Visa,For experienced business people seeking to establish an innovative business in the UK.,Work,Must have sufficient funds for the duration of stay and intention to return,£610,3 weeks,"Passport, business plan, endorsement letter, financial proof",Family visa holders can apply for indefinite leave to remain after 5 years.
330,Tier 2 Work Visa,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Work,"Family relationship proof, sufficient funds",£610,8 weeks,"Passport, bank statements, travel itinerary",Max 6 months stay per visit.
331,Family Visa,For experienced business people seeking to establish an innovative business in the UK.,Business,"Job offer, Certificate of Sponsorship, appropriate salary",£348,12 weeks,"Passport, relationship proof, financial proof",Can work part-time during term and full-time during breaks.
332,Visitor Visa,For international students pursuing a course in the UK.,Business,"Job offer, Certificate of Sponsorship, appropriate salary",£95,8 weeks,"Passport, bank statements, travel itinerary",Sponsorship from a licensed UK employer required.
333,Visitor Visa,Allows family members of UK residents to join them in the UK.,Visitor,"Family relationship proof, sufficient funds","£1,021",8 weeks,"Passport, CAS, financial proof, TB test",Sponsorship from a licensed UK employer required.
334,Tier 4 Student,For experienced business people seeking to establish an innovative business in the UK.,Work,"Family relationship proof, sufficient funds","£1,021",6 months,"Passport, CoS, qualifications, proof of funds",Sponsorship from a licensed UK employer required.
335,Tier 2 Work Visa,Allows family members of UK residents to join them in the UK.,Business,"Job offer, Certificate of Sponsorship, appropriate salary",£610,12 weeks,"Passport, CAS, financial proof, TB test",Max 6 months stay per visit.
336,Tier 4 Student,For international students pursuing a course in the UK.,Visitor,"Accepted by a UK institution, proof of funds, English proficiency","£1,523",8 weeks,"Passport, CAS, financial proof, TB test",Must maintain the endorsement and continue business activities.
337,Family Visa,Allows family members of UK residents to join them in the UK.,Visitor,"Innovative business idea, proof of funds, endorsement by an approved body","£1,523",12 weeks,"Passport, CoS, qualifications, proof of funds",Must maintain the endorsement and continue business activities.
338,Tier 4 Student,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Family,"Family relationship proof, sufficient funds","£1,523",3 weeks,"Passport, business plan, endorsement letter, financial proof",Sponsorship from a licensed UK employer required.
339,Tier 4 Student,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Student,"Accepted by a UK institution, proof of funds, English proficiency",£610,6 months,"Passport, bank statements, travel itinerary",Family visa holders can apply for indefinite leave to remain after 5 years.
340,Tier 4 Student,For experienced business people seeking to establish an innovative business in the UK.,Student,"Innovative business idea, proof of funds, endorsement by an approved body",£348,12 weeks,"Passport, business plan, endorsement letter, financial proof",Sponsorship from a licensed UK employer required.
341,Innovator Visa,For international students pursuing a course in the UK.,Business,"Accepted by a UK institution, proof of funds, English proficiency","£1,523",6 months,"Passport, bank statements, travel itinerary",Sponsorship from a licensed UK employer required.
342,Tier 2 Work Visa,Allows individuals to visit the UK for tourism or family visits.,Visitor,Must have sufficient funds for the duration of stay and intention to return,£95,12 weeks,"Passport, CoS, qualifications, proof of funds",Max 6 months stay per visit.
343,Tier 2 Work Visa,Allows family members of UK residents to join them in the UK.,Work,Must have sufficient funds for the duration of stay and intention to return,"£1,021",12 weeks,"Passport, CAS, financial proof, TB test",Max 6 months stay per visit.
344,Tier 2 Work Visa,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Student,"Accepted by a UK institution, proof of funds, English proficiency","£1,523",6 months,"Passport, CoS, qualifications, proof of funds",Sponsorship from a licensed UK employer required.
345,Tier 2 Work Visa,Allows individuals to visit the UK for tourism or family visits.,Family,Must have sufficient funds for the duration of stay and intention to return,"£1,523",3 weeks,"Passport, relationship proof, financial proof",Max 6 months stay per visit.
